CITY,CBSA,Percent_Unhealthy_Days,Latitude,Longitude,STATE,Total_Rev_Prog_Desc
CAPE CORAL-FORT MYERS,"Cape Coral-Fort Myers, FL",0.273972602739726,26.5640011,-81.96045738661337,,
CARLSBAD-ARTESIA,"Carlsbad-Artesia, NM",5.205479452054795,,,,
CARSON CITY,"Carson City, NV",0.0,39.1663259,-119.7670374,NV,6077718.0
CASPER,"Casper, WY",0.0,42.8501191,-106.325138,WY,11326848.0
CEDAR CITY,"Cedar City, UT",0.0,37.6774238,-113.061827,UT,2211641.0
CEDAR RAPIDS,"Cedar Rapids, IA",0.0,41.9758872,-91.6704053,IA,35863274.0
CENTRALIA,"Centralia, WA",0.0,46.7204489,-122.96143,WA,5271311.0
CHAMBERSBURG-WAYNESBORO,"Chambersburg-Waynesboro, PA",0.0,,,,
CHAMPAIGN-URBANA,"Champaign-Urbana, IL",0.0,40.1157948,-88.241194,,
CHARLESTON,"Charleston, WV",0.0,38.3505995,-81.6332812,WV,38381616.0
CHARLESTON-NORTH CHARLESTON,"Charleston-North Charleston, SC",0.0,32.8546197,-79.9748103,,
CHARLOTTE-CONCORD-GASTONIA,"Charlotte-Concord-Gastonia, NC-SC",4.657534246575342,,,,
CHARLOTTESVILLE,"Charlottesville, VA",0.0,38.029306,-78.4766781,VA,4035920.0
CHATTANOOGA,"Chattanooga, TN-GA",0.0,34.93021,-85.343951,,
CHEYENNE,"Cheyenne, WY",0.0,41.139981,-104.820246,WY,14489501.0
CHICAGO-NAPERVILLE-ELGIN,"Chicago-Naperville-Elgin, IL-IN-WI",3.5616438356164384,,,,
CHICO,"Chico, CA",1.36986301369863,39.7284945,-121.8374777,CA,11491076.0
CINCINNATI,"Cincinnati, OH-KY-IN",2.4657534246575343,,,,
CLAREMONT-LEBANON,"Claremont-Lebanon, NH-VT",0.0,,,,
CLARKSBURG,"Clarksburg, WV",0.0,39.2806451,-80.3445341,WV,4282419.0
CLARKSVILLE,"Clarksville, TN-KY",0.0,36.68373727562121,-87.29182286360417,,
CLEARLAKE,"Clearlake, CA",0.0,38.9582307,-122.626372,CA,621110.0
CLEVELAND,"Cleveland, MS",0.0,33.7440023,-90.7248187,,
CLEVELAND-ELYRIA,"Cleveland-Elyria, OH",1.9178082191780823,41.3912498,-82.1132584,,
CLINTON,"Clinton, IA",0.0,41.9054695,-90.5599971,IA,1523099.0
COEUR D'ALENE,"Coeur d'Alene, ID",0.0,47.6742994,-116.7811531,,
COLORADO SPRINGS,"Colorado Springs, CO",0.0,38.8339578,-104.825348,CO,22515759.0
COLUMBIA,"Columbia, MO",0.0,38.951883,-92.3337366,MO,27899037.0
COLUMBUS,"Columbus, GA-AL",0.0914076782449725,33.7581569,-86.7533259,,
CONCORD,"Concord, NH",0.0,43.207178,-71.537476,NH,24062200.0
COOKEVILLE,"Cookeville, TN",0.0,36.1623886,-85.4997057,TN,11902719.0
COOS BAY,"Coos Bay, OR",0.0,43.3678937,-124.2174647,OR,4783008.0
CORNING,"Corning, NY",0.0,42.1435257,-77.0543408,NY,11662066.0
CORPUS CHRISTI,"Corpus Christi, TX",0.273972602739726,27.7635302,-97.4033191,TX,2052319.0
CORSICANA,"Corsicana, TX",0.0,32.091299,-96.4646821,TX,4520350.0
CORVALLIS,"Corvallis, OR",0.0,44.5645659,-123.2620435,OR,14996652.0
CRESCENT CITY,"Crescent City, CA",0.0,41.7538193,-124.1966461,CA,3408169.0
CRESTVIEW-FORT WALTON BEACH-DESTIN,"Crestview-Fort Walton Beach-Destin, FL",0.0,,,,
CULLOWHEE,"Cullowhee, NC",0.0,35.3137739,-83.1765814,NC,541800.0
DALLAS-FORT WORTH-ARLINGTON,"Dallas-Fort Worth-Arlington, TX",7.945205479452056,32.760065649465474,-97.16173192444386,,
DALTON,"Dalton, GA",0.0,34.7691867,-84.9702475,GA,4369230.0
DAPHNE-FAIRHOPE-FOLEY,"Daphne-Fairhope-Foley, AL",0.0,,,,
DAVENPORT-MOLINE-ROCK ISLAND,"Davenport-Moline-Rock Island, IA-IL",0.821917808219178,,,,
DAYTON,"Dayton, OH",0.0,39.7589478,-84.1916069,OH,68749649.0
DECATUR,"Decatur, AL",0.0,34.6060203,-86.9838165,AL,1275866.0
DELTONA-DAYTONA BEACH-ORMOND BEACH,"Deltona-Daytona Beach-Ormond Beach, FL",0.0,,,,
DEMING,"Deming, NM",0.554016620498615,32.2627416,-107.7581979,NM,900099.0
DENVER-AURORA-LAKEWOOD,"Denver-Aurora-Lakewood, CO",6.575342465753424,,,,
DES MOINES-WEST DES MOINES,"Des Moines-West Des Moines, IA",0.0,41.5938402,-93.81857764723546,,
DETROIT-WARREN-DEARBORN,"Detroit-Warren-Dearborn, MI",3.287671232876712,,,,
DICKINSON,"Dickinson, ND",0.0,46.8791756,-102.7896242,ND,2055099.0
DODGE CITY,"Dodge City, KS",0.0,37.7527982,-100.0170787,KS,5247929.0
DOTHAN,"Dothan, AL",0.0,31.2237285,-85.3934375,AL,5515898.0
DOUGLAS,"Douglas, GA",0.0,33.6995565,-84.7622973,GA,621990.0
DOVER,"Dover, DE",0.0,39.158168,-75.5243682,DE,14211436.0
DUBOIS,"DuBois, PA",0.0,41.118651,-78.7622342,PA,5009538.0
DULUTH,"Duluth, MN-WI",0.273972602739726,46.65675039591158,-92.20118327518004,,
DURANGO,"Durango, CO",0.0,37.2769484,-107.8766,CO,13103440.0
DURHAM-CHAPEL HILL,"Durham-Chapel Hill, NC",0.0,35.79160541601168,-78.78216735428857,,
DYERSBURG,"Dyersburg, TN",0.0,36.0346393,-89.3857496,,
EAGLE PASS,"Eagle Pass, TX",0.2949852507374631,28.7083999,-100.503941,TX,1945020.0
EAST STROUDSBURG,"East Stroudsburg, PA",0.0,40.9995386,-75.1812913,PA,611710.0
EAU CLAIRE,"Eau Claire, WI",0.0,44.811349,-91.4984941,WI,21458079.0
EFFINGHAM,"Effingham, IL",0.0,39.0520902,-88.6029006,IL,1934160.0
EL CENTRO,"El Centro, CA",5.7534246575342465,32.792,-115.563051,CA,713940.0
EL DORADO,"El Dorado, AR",0.0,33.2115087,-92.6650144,AR,7102406.0
EL PASO,"El Paso, TX",3.5616438356164384,31.7601164,-106.4870404,TX,41127449.0
ELIZABETHTOWN-FORT KNOX,"Elizabethtown-Fort Knox, KY",0.0,,,,
ELKHART-GOSHEN,"Elkhart-Goshen, IN",0.0,41.5871396,-85.83534264946283,,
ELKO,"Elko, NV",0.0,41.1958128,-115.3272864,NV,1620520.0
ELLENSBURG,"Ellensburg, WA",0.0,46.9970635,-120.545122,WA,5402647.0
EMPORIA,"Emporia, KS",0.847457627118644,38.4040054,-96.181623,KS,7763007.0
ERIE,"Erie, PA",0.0,42.1294712,-80.0852695,PA,26931921.0
ESPA?OLA,"Espa?ola, NM",0.0,,,,
EUGENE,"Eugene, OR",2.191780821917808,44.0505054,-123.0950506,OR,19302223.0
EUREKA-ARCATA-FORTUNA,"Eureka-Arcata-Fortuna, CA",0.0,,,,
EVANSTON,"Evanston, WY",0.273972602739726,41.2682462,-110.963758,WY,1153590.0
EVANSVILLE,"Evansville, IN-KY",0.0,,,,
FAIRBANKS,"Fairbanks, AK",10.684931506849315,64.837845,-147.716675,AK,14560459.0
FAIRMONT,"Fairmont, WV",0.0,39.4850848,-80.1425781,WV,8215005.0
FALLON,"Fallon, NV",0.0,39.4745166,-118.777895,NV,1335520.0
FARGO,"Fargo, ND-MN",0.5509641873278237,46.831730492862576,-96.7914886055084,,
FARMINGTON,"Farmington, NM",0.0,36.7291152,-108.205445,NM,8566478.0
FAYETTEVILLE,"Fayetteville, NC",0.0,35.0525759,-78.878292,NC,10659690.0
FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR-MO",0.0,,,,
FERNLEY,"Fernley, NV",0.0,39.6075249,-119.2508406,,
FLAGSTAFF,"Flagstaff, AZ",0.0,35.1987522,-111.651822,AZ,14012686.0
FLINT,"Flint, MI",0.0,43.0161693,-83.6900211,MI,19545100.0
FLORENCE,"Florence, SC",0.0,34.1984435,-79.7671658,SC,11310544.0
FLORENCE-MUSCLE SHOALS,"Florence-Muscle Shoals, AL",0.0,34.830621,-87.63201922602904,,
FOND DU LAC,"Fond du Lac, WI",0.0,43.7533414,-88.4493796,WI,13660426.0
FORT COLLINS,"Fort Collins, CO",1.643835616438356,40.5871782,-105.0770113,CO,31313412.0
FORT MADISON-KEOKUK,"Fort Madison-Keokuk, IA-IL-MO",0.0,,,,
FORT PAYNE,"Fort Payne, AL",0.0,34.4442547,-85.7196893,AL,1777600.0
FORT SMITH,"Fort Smith, AR-OK",0.0,,,,
FORT WAYNE,"Fort Wayne, IN",0.273972602739726,41.0799898,-85.1386015,IN,62675437.0
FRESNO,"Fresno, CA",18.08219178082192,36.7394421,-119.78483,CA,54431126.0
GADSDEN,"Gadsden, AL",0.0,34.0128323,-86.0030251,AL,5067949.0
GAINESVILLE,"Gainesville, FL",0.0,29.6519684,-82.3249846,FL,21047476.0
GARDNERVILLE RANCHOS,"Gardnerville Ranchos, NV",0.0,38.8958109,-119.7419547,,
GEORGETOWN,"Georgetown, SC",0.0,33.4392245,-79.3343041,SC,5109647.0
GETTYSBURG,"Gettysburg, PA",0.0,39.8308973,-77.231012,PA,8981908.0
GILLETTE,"Gillette, WY",0.273972602739726,44.290635,-105.501876,WY,4944406.0
GLENWOOD SPRINGS,"Glenwood Springs, CO",0.547945205479452,39.5466381,-107.3246941,CO,621610.0
GRAND ISLAND,"Grand Island, NE",0.0,40.924271,-98.338685,NE,8408321.0
GRAND JUNCTION,"Grand Junction, CO",0.2747252747252747,39.0672568,-108.56448,CO,1333720.0
GRAND RAPIDS-WYOMING,"Grand Rapids-Wyoming, MI",0.0,42.88530425,-85.68189667861415,,
GRANTS PASS,"Grants Pass, OR",1.36986301369863,42.4393707,-123.3272489,OR,5514081.0
GREAT FALLS,"Great Falls, MT",0.2754820936639118,47.5048851,-111.29189,MT,14701005.0
GREELEY,"Greeley, CO",2.191780821917808,40.4233142,-104.7091322,CO,9567802.0
GREEN BAY,"Green Bay, WI",0.0,44.5126379,-88.0125794,WI,33062889.0
GREENFIELD TOWN,"Greenfield Town, MA",0.0,42.5940799,-72.59687367339309,,
GREENSBORO-HIGH POINT,"Greensboro-High Point, NC",0.0,36.0857928,-79.96555008306188,,
GREENVILLE,"Greenville, NC",0.0,35.613224,-77.3724593,NC,8523529.0
GREENVILLE-ANDERSON-MAULDIN,"Greenville-Anderson-Mauldin, SC",0.273972602739726,,,,
GUAYAMA,"Guayama, PR",0.0,18.0179594,-66.14650187228571,,
GULFPORT-BILOXI-PASCAGOULA,"Gulfport-Biloxi-Pascagoula, MS",0.273972602739726,,,,
HAGERSTOWN-MARTINSBURG,"Hagerstown-Martinsburg, MD-WV",0.5524861878453038,,,,
HAILEY,"Hailey, ID",0.0,43.519629,-114.315325,ID,1159190.0
HAMMOND,"Hammond, LA",0.0,30.5043583,-90.4611995,LA,2400150.0
HANFORD-CORCORAN,"Hanford-Corcoran, CA",11.232876712328768,,,,
HARRISBURG-CARLISLE,"Harrisburg-Carlisle, PA",1.643835616438356,40.21251495,-77.17860675,,
HARRISON,"Harrison, AR",0.0,36.2297936,-93.1076765,AR,9697717.0
HARRISONBURG,"Harrisonburg, VA",0.0,38.4493315,-78.8688833,VA,14656227.0
HARTFORD-WEST HARTFORD-EAST HARTFORD,"Hartford-West Hartford-East Hartford, CT",2.191780821917808,,,,
HATTIESBURG,"Hattiesburg, MS",0.0,31.3271189,-89.2903392,MS,8380448.0
HELENA,"Helena, MT",0.547945205479452,46.5927425,-112.036277,MT,24565241.0
HERMISTON-PENDLETON,"Hermiston-Pendleton, OR",0.273972602739726,,,,
HICKORY-LENOIR-MORGANTON,"Hickory-Lenoir-Morganton, NC",0.0,,,,
HILO,"Hilo, HI",0.0,19.685445799999997,-155.10037544637729,HI,8752469.0
HOBBS,"Hobbs, NM",1.095890410958904,32.707667,-103.1311314,NM,3198729.0
HOLLAND,"Holland, MI",1.4492753623188406,42.7876022,-86.1090828,MI,5174281.0
HOMOSASSA SPRINGS,"Homosassa Springs, FL",0.0,28.8035939,-82.5759329,,
HOT SPRINGS,"Hot Springs, AR",0.0,34.5038393,-93.0552437,AR,12267497.0
HOUGHTON,"Houghton, MI",0.0,46.8591287,-88.7774734,MI,2571810.0
HOUMA-THIBODAUX,"Houma-Thibodaux, LA",0.554016620498615,29.64662535,-90.81647520997512,,
HOUSTON-THE WOODLANDS-SUGAR LAND,"Houston-The Woodlands-Sugar Land, TX",8.493150684931507,,,,
HUNTINGTON,"Huntington, IN",0.0,40.8008286,-85.5018494,IN,3931022.0
HUNTINGTON-ASHLAND,"Huntington-Ashland, WV-KY-OH",0.0,,,,
HUNTSVILLE,"Huntsville, AL",0.0,34.729847,-86.5859011,AL,24203290.0
IDAHO FALLS,"Idaho Falls, ID",0.0,43.4887907,-112.03628,ID,4804669.0
INDIANA,"Indiana, PA",0.0,40.6424116,-79.1262839,PA,8645117.0
INDIANAPOLIS-CARMEL-ANDERSON,"Indianapolis-Carmel-Anderson, IN",1.36986301369863,,,,
IOWA CITY,"Iowa City, IA",0.0,41.6612561,-91.5299106,IA,15339085.0
ITHACA,"Ithaca, NY",0.0,42.437417499999995,-76.54837235139263,NY,48506181.0
JACKSON,"Jackson, MS",0.0,32.2998686,-90.1830408,MS,47140545.0
JACKSONVILLE,"Jacksonville, FL",0.273972602739726,30.3321838,-81.655651,FL,68438498.0
JAMESTOWN-DUNKIRK-FREDONIA,"Jamestown-Dunkirk-Fredonia, NY",0.2915451895043732,,,,
JANESVILLE-BELOIT,"Janesville-Beloit, WI",0.0,42.7025807,-89.00652257520741,,
JASPER,"Jasper, IN",0.0,41.0321808,-87.1066598,IN,1248200.0
JEFFERSON CITY,"Jefferson City, MO",0.0,38.577359,-92.1724265,MO,1431219.0
JOHNSTOWN,"Johnstown, PA",0.0,40.3267407,-78.9219698,PA,10447678.0
JONESBORO,"Jonesboro, AR",0.0,35.8272257,-90.6949871,AR,9284659.0
JOPLIN,"Joplin, MO",0.273972602739726,37.0841838,-94.5133385,MO,9448587.0
JUNEAU,"Juneau, AK",0.8287292817679558,58.3019496,-134.419734,AK,11202239.0
KAHULUI-WAILUKU-LAHAINA,"Kahului-Wailuku-Lahaina, HI",1.1049723756906076,,,,
KALAMAZOO-PORTAGE,"Kalamazoo-Portage, MI",0.0,42.24591065,-85.56362705774816,,
KALISPELL,"Kalispell, MT",0.273972602739726,48.202158,-114.315321,MT,12113638.0
KANSAS CITY,"Kansas City, MO-KS",0.273972602739726,38.94231585,-94.60607524663884,,
KAPAA,"Kapaa, HI",0.0,22.0833399,-159.34635231502904,HI,1570920.0
KEENE,"Keene, NH",0.0,42.933597,-72.2784264,NH,11211057.0
KENNEWICK-RICHLAND,"Kennewick-Richland, WA",0.0,46.1736015,-119.0664001,,
KILLEEN-TEMPLE,"Killeen-Temple, TX",0.547945205479452,,,,
KINGSPORT-BRISTOL-BRISTOL,"Kingsport-Bristol-Bristol, TN-VA",0.2754820936639118,,,,
KINGSVILLE,"Kingsville, TX",0.0,27.5158689,-97.856109,,
KINSTON,"Kinston, NC",0.0,35.2626635,-77.5816353,NC,624310.0
KLAMATH FALLS,"Klamath Falls, OR",1.643835616438356,42.224867,-121.78167,OR,4129828.0
KNOXVILLE,"Knoxville, TN",1.095890410958904,35.9603948,-83.9210261,TN,64587898.0
KOKOMO,"Kokomo, IN",0.2770083102493075,40.4864444,-86.1336351,IN,11285854.0
LA CROSSE-ONALASKA,"La Crosse-Onalaska, WI-MN",0.0,43.90742140091293,-91.244908067993,,
LA GRANDE,"La Grande, OR",0.0,45.3246068,-118.0878695,OR,812900.0
LACONIA,"Laconia, NH",0.0,43.5278546,-71.470351,NH,2879909.0
LAFAYETTE,"Lafayette, LA",0.0,30.2262187,-92.0178202,LA,17312912.0
LAFAYETTE-WEST LAFAYETTE,"Lafayette-West Lafayette, IN",0.0,40.4258686,-86.9080655,,
LAKE CHARLES,"Lake Charles, LA",0.0,30.2305095,-93.2169807,LA,9852543.0
LAKE CITY,"Lake City, FL",0.0,30.1894252,-82.6394803,FL,6979505.0
LAKE HAVASU CITY-KINGMAN,"Lake Havasu City-Kingman, AZ",0.0,,,,
LAKELAND-WINTER HAVEN,"Lakeland-Winter Haven, FL",0.0,,,,
LANCASTER,"Lancaster, PA",2.73972602739726,40.0379958,-76.3056707,PA,33998765.0
LANSING-EAST LANSING,"Lansing-East Lansing, MI",0.0,42.7320307,-84.4721678,,
LARAMIE,"Laramie, WY",0.0,41.3116442,-105.5917876,WY,2042929.0
LAREDO,"Laredo, TX",0.273972602739726,27.5075005,-99.5069922,TX,6781635.0
LAS CRUCES,"Las Cruces, NM",6.575342465753424,32.3140354,-106.779807,NM,7259670.0
LAS VEGAS-HENDERSON-PARADISE,"Las Vegas-Henderson-Paradise, NV",1.36986301369863,36.0234665,-115.10061095,,
LAWRENCEBURG,"Lawrenceburg, TN",0.0,35.2423023,-87.3347389,TN,531110.0
LAWTON,"Lawton, OK",0.0,34.6086854,-98.3903305,OK,7418957.0
LEBANON,"Lebanon, PA",1.1111111111111112,40.375713,-76.4626118,PA,14511341.0
LEWISTON,"Lewiston, ID-WA",0.273972602739726,46.43146231061869,-117.05725589842984,,
LEWISTON-AUBURN,"Lewiston-Auburn, ME",0.0,44.04808285,-70.28316628451043,,
LEXINGTON-FAYETTE,"Lexington-Fayette, KY",0.0,38.0464066,-84.4970393,,
LIMA,"Lima, OH",0.0,40.7399785,-84.105006,OH,13672532.0
LINCOLN,"Lincoln, NE",0.0,40.8088861,-96.7077751,NE,64300130.0
LITTLE ROCK-NORTH LITTLE ROCK-CONWAY,"Little Rock-North Little Rock-Conway, AR",0.0,34.762371364354784,-92.20453310921329,,
LOGAN,"Logan, UT-ID",3.8356164383561646,,,,
LONGVIEW,"Longview, TX",0.1385041551246537,32.5007031,-94.74049,TX,9322919.0
LOS ALAMOS,"Los Alamos, NM",0.0,35.88137,-106.298959,NM,624100.0
LOS ANGELES-LONG BEACH-ANAHEIM,"Los Angeles-Long Beach-Anaheim, CA",24.93150684931507,33.782237,-118.1519248,,
LOUISVILLE/JEFFERSON COUNTY,"Louisville/Jefferson County, KY-IN",1.095890410958904,,,,
LUBBOCK,"Lubbock, TX",0.303030303030303,33.5855677,-101.8470215,TX,25238863.0
LUDINGTON,"Ludington, MI",0.0,43.9555406,-86.4477416,MI,4289203.0
LYNCHBURG,"Lynchburg, VA",0.0,37.4137536,-79.1422464,VA,18772694.0
MACON,"Macon, GA",0.8287292817679558,32.8406946,-83.6324022,GA,16691178.0
MADERA,"Madera, CA",3.5616438356164384,37.1716264,-119.7737991,CA,1857310.0
MADISON,"Madison, WI",0.0,43.074761,-89.3837613,WI,170689260.0
MALONE,"Malone, NY",0.0,44.84881,-74.295044,NY,2054009.0
MANCHESTER-NASHUA,"Manchester-Nashua, NH",0.0,42.77736539788403,-71.47535927236541,,
MANITOWOC,"Manitowoc, WI",0.0,44.0998341,-87.827992,WI,9518409.0
MARIETTA,"Marietta, OH",0.0,39.4167742,-81.4548392,OH,7902055.0
MARSHALL,"Marshall, MN",0.0,48.3605336,-96.381968,MN,4992328.0
MASON CITY,"Mason City, IA",0.0,43.1524574,-93.2017941,IA,5192508.0
MAYAGUEZ,"Mayaguez, PR",0.0,18.21163545,-67.0953571846176,PR,1521499.0
MCALESTER,"McAlester, OK",0.547945205479452,34.9334981,-95.7697934,OK,611710.0
MCALLEN-EDINBURG-MISSION,"McAllen-Edinburg-Mission, TX",0.547945205479452,,,,
MEDFORD,"Medford, OR",1.9178082191780823,42.3264181,-122.8718605,OR,8013566.0
MEMPHIS,"Memphis, TN-MS-AR",1.36986301369863,,,,
MERCED,"Merced, CA",1.9178082191780823,37.1641544,-120.7678602,CA,3648220.0
MERIDIAN,"Meridian, MS",0.0,32.3643098,-88.703656,MS,12741327.0
MIAMI,"Miami, OK",0.2754820936639118,36.8746177,-94.877374,OK,522299.0
MIAMI-FORT LAUDERDALE-WEST PALM BEACH,"Miami-Fort Lauderdale-West Palm Beach, FL",0.5494505494505495,,,,
MICHIGAN CITY-LA PORTE,"Michigan City-La Porte, IN",1.098901098901099,41.7099264,-86.8946587,,
MIDDLESBOROUGH,"Middlesborough, KY",0.0,36.6072968,-83.7143317,,
MILWAUKEE-WAUKESHA-WEST ALLIS,"Milwaukee-Waukesha-West Allis, WI",0.821917808219178,43.01635795,-88.0672493,,
MINNEAPOLIS-ST. PAUL-BLOOMINGTON,"Minneapolis-St. Paul-Bloomington, MN-WI",0.273972602739726,,,,
MINOT,"Minot, ND",0.0,48.23251,-101.296273,ND,12787347.0
MISSOULA,"Missoula, MT",1.095890410958904,46.8701049,-113.995267,MT,35159731.0
MOBILE,"Mobile, AL",0.0,30.6913462,-88.0437509,AL,49047032.0
MODESTO,"Modesto, CA",6.301369863013699,37.6393419,-120.9968892,CA,14052796.0
MONROE,"Monroe, LA",0.0,32.5025471,-92.116219,LA,10949675.0
MONTGOMERY,"Montgomery, AL",0.273972602739726,32.37742,-86.3091683,AL,31116989.0
MOREHEAD CITY,"Morehead City, NC",0.0,34.7229391,-76.7260436,NC,3397909.0
MORGANTOWN,"Morgantown, WV",0.0,39.6296809,-79.9559437,WV,14872227.0
MORRISTOWN,"Morristown, TN",0.0,36.2139814,-83.2948923,TN,19076799.0
MOSCOW,"Moscow, ID",0.0,46.7323875,-117.000165,ID,3888229.0
